u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,tokyo_dura,tokyo_fare,tokyo_tran,L01_005,lvalue,L01_044,L01_045,L01_046,L01_047
2000,19,スマイルホテル巣鴨,東京都豊島区巣鴨２丁目４-７,2012年11月,2012,東京都,13_東京都,126,FC,ホスピタリティパートナーズグループ,東京都/豊島区/巣鴨/二丁目/４番,139.73924,35.73449,5,7,61,677,2,92,1389,2,24,165,0,2018,763000,店舗付事務所、低層店舗等が混在する商業地域,巣鴨,210,商業
1018,98,スーパーホテルlnn池袋駅北口,東京都豊島区池袋２丁目６２-１４,2003年4月,2003,東京都,13_東京都,209,賃貸,スーパーホテル,東京都/豊島区/池袋/二丁目/６２番,139.71036,35.73494,5,7,71,666,1,103,1400,2,28,195,0,2018,790000,中層の日用品店舗等の建ち並ぶ商業地域,池袋,500,近商
900,39,ホテルメッツ駒込,東京都豊島区駒込２丁目１-３９,2009年9月,2009,東京都,13_東京都,152,賃貸,JR東日本ホテルズ,東京都/豊島区/駒込/二丁目/１番,139.74738,35.73653,5,7,60,677,2,90,1368,2,23,165,0,2018,1230000,中高層店舗、事務所が建ち並ぶ商業地域,駒込,110,商業
2296,54,フレッタステイイン江古田,東京都練馬区栄町８-６,1989年3月,1989,東京都,13_東京都,210,賃貸,ホテルマイステイズマネジメント,東京都/練馬区/栄町/８番,139.67038,35.7373,5,7,79,840,2,112,1574,3,36,369,1,2018,762000,店舗、店舗兼共同住宅等が建ち並ぶ商業地域,江古田,200,商業
1624,221,東横INN福生駅前東口,東京都福生市東町４-１,2010年9月,2010,東京都,13_東京都,239,NA,東横INN,東京都/福生市/東町/４番地,139.32809,35.74244,5,7,110,1401,3,157,2178,3,64,799,0,2018,419000,中層の店舗ビルが建ち並ぶ駅前の商業地域,福生,0,商業
41,11,アパホテル東京板橋駅前,東京都豊島区上池袋４丁目４７-１,1997年7月,1997,東京都,13_東京都,202,所有直営,アパホテルズ＆リゾーツ,東京都/豊島区/上池袋/四丁目/４７番,139.71913,35.74458,5,7,70,655,1,104,1400,3,34,339,1,2018,690000,中高層の店舗兼共同住宅等が建ち並ぶ商業地域,板橋,400,商業
606,11,グランパーク・イン北千住,東京都足立区千住仲町４０-９,2015年11月,2015,東京都,13_東京都,80,賃貸,グランパークホテル,東京都/足立区/千住仲町/４０番,139.80247,35.74648,5,7,70,789,1,80,1162,1,23,216,0,2018,587000,中層の店舗兼共同住宅等が建ち並ぶ商業地域,北千住,300,商業
870,9,ホテルメッツ久米川,東京都東村山市栄町2-31-4,1994年5月,1994,東京都,13_東京都,47,賃貸直営,JR東日本ホテルズ,東京都/東村山市/栄町/二丁目/３１番,139.46948,35.74924,5,7,93,900,2,138,2028,3,60,724,2,2018,291000,中低層の店舗兼共同住宅等が建ち並ぶ商業地域,久米川,270,商業
2297,55,フレックステイイン常盤台,東京都板橋区常盤台１丁目５２-５,1990年6月,1990,東京都,13_東京都,129,賃貸,ホテルマイステイズマネジメント,東京都/板橋区/常盤台/一丁目/５２番,139.69229,35.75819,5,7,82,831,2,119,1565,3,41,360,1,2018,950000,中層の店舗、銀行等が混在する駅前の商業地域,ときわ台,70,商業
1651,248,東横INN西武池袋線東久留米駅西口,東京都東久留米市本町１-４-８,2016年11月,2016,東京都,13_東京都,169,NA,東横INN,東京都/東久留米市/本町/一丁目/４番,139.53204,35.75937,5,7,93,1009,3,125,1667,4,48,462,3,2018,273000,一般住宅のほかアパート等も散見される住宅地域,東久留米,300,1低専
2617,29,ホテルリブマックス東京羽村駅前,東京都羽村市五ノ神４丁目２-１５,2013年9月,2013,東京都,13_東京都,59,賃貸,リブマックスホテルズ＆リゾーツ,東京都/羽村市/五ノ神/四丁目/２番,139.31535,35.76029,5,7,114,1401,3,161,2178,3,67,799,0,2018,178000,店舗と事務所等が見られる街路沿いの商業地域,羽村,650,近商
2295,53,フレックステイイン東十条,東京都北区中十条２丁目１０-２,1986年8月,1986,東京都,13_東京都,88,賃貸,ホテルマイステイズマネジメント,東京都/北区/中十条/二丁目/１０番,139.72713,35.76271,5,7,61,699,1,103,1389,3,27,216,0,2018,820000,小売店舗、中層ビルが建ち並ぶ駅前の商業地域,東十条,160,商業
895,34,ホテルメッツ赤羽,東京都北区赤羽1-1-76,2005年5月,2005,東京都,13_東京都,120,賃貸,JR東日本ホテルズ,東京都/北区/赤羽/一丁目/１番,139.72099,35.77785,5,7,62,785,1,104,1400,2,28,216,0,2018,2630000,中高層店舗等が建ち並ぶ駅前の商業地域,赤羽,0,商業
1183,28,ダイワロイネットホテル東京赤羽,東京都北区赤羽南１丁目９-１３,2011年3月,2011,東京都,13_東京都,163,賃貸直営,ダイワロイネットホテルズ,東京都/北区/赤羽南/一丁目/９番,139.72255,35.77752,5,7,61,785,1,103,1400,2,27,216,0,2018,2630000,中高層店舗等が建ち並ぶ駅前の商業地域,赤羽,0,商業
923,3,スーパーホテル東京・赤羽,東京都北区赤羽１丁目４１-１３,1998年8月,1998,東京都,13_東京都,49,賃貸,スーパーホテル,東京都/北区/赤羽/一丁目/４１番,139.71971,35.78168,5,7,66,785,1,108,1400,2,32,216,0,2018,611000,飲食店、中高層マンション等が多い商業地域,赤羽,400,商業
1504,101,東横INN赤羽駅東口一番街,東京都北区赤羽３丁目２-２,2005年8月,2005,東京都,13_東京都,113,NA,東横INN,東京都/北区/赤羽/三丁目/２番,139.71973,35.78332,5,7,68,785,1,110,1400,2,34,216,0,2018,391000,小規模一般住宅が建ち並ぶ住宅地域,赤羽岩淵,350,1住居
