u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,L01_005,L01_006,L01_044,L01_045,L01_046,L01_047
1542,139,東横INN品川大井町,東京都品川区大井１丁目２７-３,2007年1月,2007,東京都,13_東京都,186,NA,東横INN,東京都/品川区/大井/一丁目/２７番,139.731770000000012,35.606209999999997,5,7,44m,540,1,1h44m,"1,483",2,2018,1810000,中層ビル、小売店舗が建ち並ぶ商業地域,大井町,180,商業
1733,12,アワーズイン阪急,東京都品川区大井１丁目５０-５,1971年6月,1971,東京都,13_東京都,1388,その他(リファーラル),阪急阪神第一ホテルグループ,東京都/品川区/大井/一丁目/５０番,139.733980000000003,35.605629999999998,5,7,42m,540,1,1h42m,"1,483",2,2018,1810000,中層ビル、小売店舗が建ち並ぶ商業地域,大井町,180,商業
818,37,ホテルサンルート品川シーサイド,東京都品川区東品川４丁目１２-８品川シーサイドイーストタワー,2004年9月,2004,東京都,13_東京都,300,賃貸,サンルートホテルチェーン,東京都/品川区/東品川/四丁目/１２番,139.748660000000001,35.610230000000001,5,7,43m,407,1,1h48m,"1,653",2,2018,740000,中高層マンション等が建ち並ぶ混在住宅地域,青物横丁,350,準工
978,58,スーパーホテル品川・青物横丁,東京都品川区東品川３丁目２２番２７号,2007年11月,2007,東京都,13_東京都,109,賃貸,スーパーホテル,東京都/品川区/東品川/三丁目/２２番,139.745769999999993,35.613309999999998,5,7,40m,407,1,1h47m,"1,523",1,2018,740000,中高層マンション等が建ち並ぶ混在住宅地域,青物横丁,350,準工
1444,41,東横INN品川青物橫丁駅,東京都品川区南品川３丁目１-２０,2002年2月,2002,東京都,13_東京都,197,NA,東横INN,東京都/品川区/南品川/三丁目/１番,139.742899999999992,35.608809999999998,5,7,34m,407,1,1h41m,"1,523",1,2018,740000,中高層マンション等が建ち並ぶ混在住宅地域,青物横丁,350,準工
1702,5,ハートンホテル東品川,東京都品川区東品川４丁目１３-２７,2006年7月,2006,東京都,13_東京都,448,貸貸,ハートンホテル,東京都/品川区/東品川/四丁目/１３番,139.750210000000010,35.609549999999999,5,7,44m,411,0,1h48m,"1,653",2,2018,740000,中高層マンション等が建ち並ぶ混在住宅地域,青物横丁,350,準工
1376,17,二子玉川エグゼルホテル東急,東京都世田谷区玉川１丁目14番1号,2015年7月,2015,東京都,13_東京都,107,賃貸,東急ホテルズ,東京都/世田谷区/玉川/一丁目/１４番,139.629790000000014,35.610680000000002,5,7,1h7m,735,2,2h3m,"1,668",2,2018,686000,中小規模の一般住宅が多い住宅地域,二子玉川,570,1住居
725,2,京急EXイン品川新橋駅北口,東京都品川区北品川２丁目１８-１,2008年8月,2008,東京都,13_東京都,127,MC,京急EXイン,東京都/品川区/北品川/二丁目/１８番,139.741520000000008,35.617690000000003,5,7,37m,407,1,1h42m,"1,502",1,2018,524000,小規模住宅とアパート等が建ち並ぶ既成住宅地域,新馬場,350,1住居
1025,105,スーパーホテル品川・新馬場,東京都品川区北品川２丁目３０-２６,2014年8月,2014,東京都,13_東京都,99,賃貸,スーパーホテル,東京都/品川区/北品川/二丁目/３０番,139.743639999999999,35.617220000000003,5,7,38m,411,0,1h46m,"1,502",1,2018,524000,小規模住宅とアパート等が建ち並ぶ既成住宅地域,新馬場,350,1住居
1164,9,ダイワロイネットホテル東京大崎,東京都品川区大崎２丁目１-３,2007年9月,2007,東京都,13_東京都,194,賃貸直営,ダイワロイネットホテルズ,東京都/品川区/大崎/二丁目/１番,139.727360000000004,35.618369999999999,5,7,45m,540,1,1h45m,"1,483",1,2018,2030000,中高層の店舗、事務所、共同住宅の多い商業地域,大崎,0,商業
2709,40,ホテルルートイン五反田,東京都品川区西五反田６丁目１３-１,2000年7月,2000,東京都,13_東京都,191,賃貸,ルートインホテルズ,東京都/品川区/西五反田/六丁目/１３番,139.717700000000008,35.620310000000003,5,7,49m,562,1,1h48m,"1,421",1,2018,674000,住宅、共同住宅、作業所等が混在する住宅地域,戸越銀座,470,準工
